first_element,second_element,fourth_element,seventh_element
01tel918,GB,ARS,in-for-resellers
10tel411,BE,ART,sip-trunking
11in1163,DE,ARU,geographic-number-hosting
2com348,NL,D06,carrier-voip
3star170,FR,D08,reseller-connect
42com9,AT,DT3,voice-line
8x8439,CH,C4230,ip-voice-line
a1int445,DK,B22,contact-centre
a3bc132,ES,EW0,reseller-voip-connect
a6tel490,IE,AP,cic-for-resellers
abalo30,IT,BWL,in-number-hosting
abcom727,PT,DHY,
abplu703,SE,DBV,
abzor585,CZ,DHZ,
acn1131,FI,DBA,
acone722,NO,DH9,
acris23,RO,DBO,
activ178,SK,DH2,
activ644,LU,DA8,
activ759,,DH0,
acula283,,DB1,
adame103,,DH7,
adamo016,,DBZ,
adamp224,,DH1,
adder915,,DBE,
adept222,,DHX,
adist707,,DZX,
adver017,,DA6,
aerte589,,DBI,
affin220,,DQT,
agraw250,,EMC,
airca728,,DH3,
airco389,,DBC,
airei882,,DH4,
albac609,,DBX,
aleja658,,DH5,
alexa258,,DBG,
algar243,,DH6,
alham775,,DBK,
aliba893,,DH8,
allco857,,DBM,
allia166,,E5A,
allia184,,BV6,
allop140,,BZ9,
altat648,,C6060,
alter197,,CA3,
alupa910,,C84,
amabo637,,C4G,
amiga478,,CYZ,
ampit206,,EB,
an-co91,,B2G,
anada293,,CHK,
andom256,,DEM,
andre685,,EPI,
annat480,,BGY,
antiu808,,EA,
aonli266,,CFU,
apari373,,DVJ,
apelb256,,CFT,
apfut608,,DG,
aql849,,EH,
arces936,,PAN,
arcet098,,BC3,
areav851,,BA0,
arkad870,,BK1,
arsen339,,AG9,
artel210,,FMK,
arvat14,,CI2,
arz211,,C4140,
ascen036,,BDA,
ascen100,,A5V,
aserg169,,BGH,
aspir819,,FKY,
astel225,,CMM,
astro205,,864,
astut160,,A1D,
atcal115,,FTS,
atiac252,,BR0,
atias676,,C1X,
atiun536,,C1Y,
atms1142,,C1Z,
atos515,,D91,
atsgr875,,BPD,
att131,,FTW,
auran901,,836,
auror84,,862,
avanc706,,845,
avant025,,EJD,
avati311,,D4H,
avaya13,,EJO,
avits265,,DZE,
avmin643,,D4V,
avyst367,,DTI,
awant430,,D4X,
axion746,,EJB,
b2you650,,D4J,
badis46,,D4S,
bandw170,,EFE,
barga951,,EPF,
batec866,,C4130,
bayte865,,DF4,
bbbel832,,5230,
belce697,,C5230,
belin208,,A5X,
benef803,,BML,
besha986,,ED9,
besti317,,FR1,
beyon271,,FMZ,
bifon663,,ET2,
bjtpa176,,AKJ,
blatz128,,E1R,
block673,,BFM,
blsco454,,AJL,
blue-107,,D4O,
blueb20,,D41,
bluep240,,AHC,
bluip049,,AR7,
bluso387,,NBA,
borde667,,BBW,
borwo476,,A0K,
brain670,,A0L,
breta162,,A0M,
brigh091,,BB2,
brita272,,EPQ,
broad326,,AH6,
bt211181,,A4J,
btshe442,,925,
budge296,,A0V,
byong236,,832,
bypho361,,AZD,
cable071,,BJN,
call-79,,958,
calle227,,AY1,
calli320,,CL4,
callm811,,B29,
calls473,,ASP,
calyx192,,B63,
cameo393,,AM8,
canne223,,ANA,
capit75,,931,
capro526,,A2U,
capst074,,912,
cashi053,,AEI,
catel314,,FSX,
cbd400,,FTN,
ccn11129,,FTK,
cdlan607,,FTI,
celia372,,FTF,
cellc164,,FTG,
centr292,,FTM,
centr420,,CPD,
centr70,,DSQ,
cetem313,,BTX,
cetsi787,,BTW,
chess247,,BYF,
chmur760,,BD3,
cirqu835,,AYX,
citym075,,DND,
cjsup466,,ERS,
clair926,,A9G,
clear516,,EFK,
cloud217,,EFO,
cloud230,,EFI,
cloud398,,EFG,
cloud668,,EGD,
cloud881,,EFM,
cmint170,,C5530,
cns11198,,AYO,
cnt1152,,AYU,
codep372,,AYP,
codin352,,AYR,
coinf189,,AU8,
colib888,,CO,
colla258,,DEI,
colt345,,BA2,
colta258,,BA7,
colts190,,969,
coltt068,,826,
colum109,,C4500,
comda224,,EFU,
comfl122,,AQJ,
comme21,,E73,
comme874,,AZ0,
commi093,,NBG,
comms243,,CHW,
commu87,,883,
comne12,,A8O,
comsa419,,AXG,
comsy116,,ACY,
comta104,,BNS,
comul793,,B2E,
comun216,,B11,
comun381,,C1V,
conci113,,DZT,
confe288,,PBC,
conne413,,AZL,
conse921,,FK5,
consu267,,ACH,
consu281,,AMK,
consu71,,AML,
consu765,,AMM,
conte155,,C18,
conve138,,CB1,
conve215,,FLL,
conve520,,FML,
coolw093,,BMA,
cores991,,FTR,
corio154,,FUY,
crevi233,,FVK,
crh072,,B3H,
cront627,,BNB,
cs1116,,BSK,
ctalk733,,BY1,
cwbit166,,BYJ,
czech289,,C08,
daisy274,,FBL,
daote821,,C5080,
dapat607,,C5750,
dasa886,,C9730,
data-101,,AKY,
ddway354,,AM4,
delin118,,AM5,
delti392,,AM6,
dente11,,BD4,
detew25,,C17,
deuts152,,CBD,
devop042,,FKU,
diabo241,,FMM,
diago237,,BLA,
dialo054,,FUW,
dialp220,,FVM,
diate352,,AS5,
didlo138,,B3I,
didww734,,BNC,
digam228,,BS8,
digic719,,BY2,
digic824,,BYT,
digit970,,C07,
disco278,,CAB,
diste135,,CEP,
djeba131,,EIJ,
dolea051,,FBK,
dolme171,,C5010,
doubl489,,C5760,
droni423,,FV9,
dtbel660,,FVG,
duket227,,DUD,
dunef134,,EMR,
dv02l398,,FK4,
easy-55,,B9N,
easyn857,,CFQ,
easyt832,,ADT,
ebay619,,CJ,
ebo192,,B3P,
echos513,,C19,
econo182,,CX0,
econo238,,MAE,
ecote2,,BKV,
edag950,,C0C,
edges155,,FU4,
eenfa484,,FV4,
egeo133,,A33,
egtec865,,A3L,
eis114,,B98,
elbac80,,BNT,
elitt726,,BS2,
elmue132,,BWB,
eloqu284,,BYS,
encom231,,BYX,
enrea582,,C05,
entra277,,CE8,
epart98,,CRH,
epite44,,D6Z,
epsil162,,DQG,
equan123,,E7K,
ergat046,,FBI,
ertlg348,,FMP,
escau355,,C0020,
eskel267,,C4020,
esker068,,C5030,
essen771,,C5780,
ether981,,C2C,
etoil599,,CXZ,
euro-36,,FMU,
euron349,,FMW,
europ581,,FVC,
eurov183,,FWD,
evere439,,B3J,
evolv612,,BND,
exact728,,BSL,
exapr184,,BYK,
excel117,,BYW,
excen907,,C00,
expon235,,CAD,
eyest396,,CB8,
faber931,,CUX,
fairy790,,FBU,
fcpte816,,C5070,
fctel150,,C5770,
fibra115,,847,
finar211,,A4P,
first58,,A4R,
flash047,,AB1,
flexf64,,AB3,
fluid779,,AYY,
fmpho269,,C2B,
folia194,,CBW,
folia919,,CBX,
fonic277,,FKV,
forte749,,FMO,
fourt247,,BK8,
freen165,,FUU,
frees248,,FV2,
futur193,,A3O,
futur312,,B3G,
g3-ne103,,BNE,
g9tel392,,BS3,
gaste282,,BWC,
gema-106,,BY3,
genba168,,BYN,
genes384,,C03,
getro741,,CSN,
gigab115,,E7A,
glemn658,,EII,
